Time,Iter,Assembly_ID,Obj_name,Density,Mass,MaxTemperature,Max_stress,Yield_stress,Parent_id
36.0,144,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,149.830721,286.031043,912.013,0,0,1
36.25,145,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,149.785024,285.943807,913.182007,0,0,1
36.5,146,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,149.733576,285.84559,913.783997,0,0,1
36.75,147,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,149.67653,285.736688,914.658997,0,0,1
37.0,148,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,149.613256,285.615895,916.146973,0,0,1
37.25,149,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,149.543374,285.482489,917.255981,0,0,1
37.5,150,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,149.469039,285.340582,918.424988,0,0,1
37.75,151,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,149.388241,285.186336,919.846008,0,0,1
38.0,152,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,149.302578,285.022802,921.047974,0,0,1
38.25,153,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,149.208413,284.843039,922.737976,0,0,1
38.5,154,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,149.108864,284.652997,924.234985,0,0,1
38.75,155,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,149.001166,284.447399,926.080017,0,0,1
39.0,156,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,148.887976,284.231316,928.130981,0,0,1
39.25,157,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,148.76749,284.001305,930.244019,0,0,1
39.5,158,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,148.64237,283.762447,932.343994,0,0,1
39.75,159,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,148.509919,283.509594,934.458008,0,0,1
40.0,160,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,148.374758,283.251569,936.531006,0,0,1
40.25,161,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,148.234844,282.984469,938.505005,0,0,1
40.5,162,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,148.09179,282.711374,940.330017,0,0,1
40.75,163,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,147.944998,282.431145,942.086975,0,0,1
41.0,164,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,147.792597,282.140206,943.843994,0,0,1
41.25,165,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,147.633819,281.837095,945.677979,0,0,1
41.5,166,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,147.468766,281.522005,947.664001,0,0,1
41.75,167,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,147.297777,281.195581,949.794006,0,0,1
42.0,168,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,147.120054,280.856304,952.018005,0,0,1
42.25,169,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,146.936479,280.505853,954.078979,0,0,1
42.5,170,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,146.749661,280.149213,955.888977,0,0,1
42.75,171,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,146.562255,279.79145,957.28302,0,0,1
43.0,172,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,146.371264,279.426843,958.314026,0,0,1
43.25,173,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,146.179225,279.060235,959.383972,0,0,1
43.5,174,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,145.983286,278.686182,960.758972,0,0,1
43.75,175,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,145.779122,278.296427,962.752991,0,0,1
44.0,176,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,145.566568,277.890655,965.432983,0,0,1
44.25,177,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,145.345631,277.46888,968.424011,0,0,1
44.5,178,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,145.123523,277.044871,969.715027,0,0,1
44.75,179,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,144.906701,276.63095,970.414978,0,0,1
45.0,180,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,144.700419,276.237153,971.054993,0,0,1
45.25,181,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,144.50346,275.861152,970.617981,0,0,1
45.5,182,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,144.308789,275.48952,970.48999,0,0,1
45.75,183,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,144.098171,275.087444,971.718018,0,0,1
46.0,184,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,143.864893,274.64211,974.547974,0,0,1
46.25,185,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,143.612535,274.160351,977.770996,0,0,1
46.5,186,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,143.371725,273.700639,977.716003,0,0,1
46.75,187,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,143.165669,273.307272,975.169983,0,0,1
47.0,188,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,143.005024,273.000596,969.922974,0,0,1
47.25,189,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,142.87259,272.747777,965.622986,0,0,1
47.5,190,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,142.745117,272.504427,963.612976,0,0,1
47.75,191,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,142.603719,272.234494,964.343018,0,0,1
