Time,Iter,Assembly_ID,Obj_name,Density,Mass,Max_stress,Yield_stress,Parent_id
55.2,184,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
55.5,185,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
55.8,186,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
56.1,187,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
56.4,188,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
56.7,189,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
57.0,190,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
57.3,191,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
57.6,192,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
57.9,193,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
58.2,194,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
58.5,195,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
58.8,196,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
59.1,197,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
59.4,198,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
59.7,199,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
60.0,200,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
60.3,201,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
60.6,202,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
60.9,203,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
61.2,204,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
61.5,205,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
61.8,206,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
62.1,207,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
62.4,208,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
62.7,209,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
63.0,210,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
63.3,211,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
63.6,212,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
63.9,213,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
64.2,214,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
64.5,215,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
64.8,216,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
65.1,217,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
65.4,218,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
65.7,219,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
66.0,220,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
66.3,221,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
66.6,222,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
66.9,223,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
67.2,224,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
67.5,225,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
67.8,226,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
68.1,227,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
68.4,228,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
68.7,229,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
69.0,230,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
69.3,231,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
69.6,232,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
69.9,233,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
70.2,234,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
70.5,235,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
70.8,236,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
71.1,237,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
71.4,238,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
71.7,239,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
72.0,240,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
72.3,241,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
72.6,242,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
72.9,243,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
